Pokemon,DexNo,Form,NormalPortrait,ShinyPortrait,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,Move 1,Move 2,Move 3,Size,Weight,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Passive 1,Passive 2,Passive 3,Passive 4,Passive 5,Passive 6,Passive 7,Proficiency 1,Proficiency 2,Proficiency 3,Proficiency 4,Proficiency 5,Proficiency 6,Proficiency 7,Proficiency 8,EggGroup1,EggGroup2,Egg Hatch Rate,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Habitat 5,Diet,Rarity,Base Form,Special Form Type,Gigantamax Move,Evolves From,Stage,Legendary HP,Move 4,Move 5,Move 6,Legendary Move 1,Legendary Move 2,Legendary Move 3,Legendary Move 4,Legenadary Passive 1,Legenadary Passive 2,Legenadary Passive 3,Legendary Feature 1,Legendary Feature 2
Bulbasaur,1,Base,bulbasaur,bulbasaur,30,5,5,7,7,5,Grass,Poison,Tackle,Leech Seed,Vine Whip,Small,Light,Sprouter,Threaded,,,,,,Growl,Overgrow,,,,,,Grass,Poison,Floral,,,,,Vine Whip,Monster,Grass,10 Days,Forest,Jungle,,,,Phototroph,Rare,,,,,1,,,,,,,,,,,,,
Ivysaur,2,Base,ivysaur,ivysaur,36,6,6,8,8,6,Grass,Poison,Poison Powder,Sleep Powder,Razor Leaf,Medium,Medium,Sprouter,Threaded,,,,,,Growth,Growl,Overgrow,,,,,Grass,Poison,Floral,,,,,Vine Whip,Monster,Grass,10 Days,Forest,Jungle,,,,Phototroph,Rare,,,,Bulbasaur,2,,,,,,,,,,,,,
Venusaur,3,Base,venusaur,venusaur,48,8,8,10,10,8,Grass,Poison,Petal Dance,Synthesis,Solar Beam,Large,Heavy,Sprouter,Threaded,,,,,,Growth,Growl,Overgrow,Chlorophyll,,,,Grass,Poison,Floral,Stampeding,,,,"Vine Whip, Frenzy Plant, Power Whip",Monster,Grass,10 Days,Forest,Jungle,,,,Phototroph,Rare,,,GMax Vine Lash,Ivysaur,3,,,,,,,,,,,,,
Venusaur,3,Gigantamax,venusaur-gmax,venusaur-gmax,240,8,8,10,10,8,Grass,Poison,Petal Dance,Synthesis,Solar Beam,Dynamic,Dynamic,Sprouter,Threaded,,,,,,Growth,Growl,Overgrow,Chlorophyll,,,,Grass,Poison,Floral,Stampeding,,,,"Vine Whip, Frenzy Plant, Power Whip",Monster,Grass,10 Days,Forest,Jungle,,,,Phototroph,Rare,Venusaur,Gigantamax,GMax Vine Lash,Ivysaur,3,,,,,,,,,,,,,
Venusaur,3,Mega,venusaur-mega,venusaur-mega,48,10,12,12,12,8,Grass,Poison,Petal Dance,Synthesis,Solar Beam,Huge,Heavy,Sprouter,Threaded,,,,,,Growth,Growl,Overgrow,Chlorophyll,Thicker Fat,,,Grass,Poison,Floral,Stampeding,,,,"Vine Whip, Frenzy Plant, Power Whip",Monster,Grass,11 Days,Forest,Jungle,,,,Phototroph,Rare,Venusaur,Mega,GMax Vine Lash,Ivysaur,3,,,,,,,,,,,,,
Charmander,4,Base,charmander,charmander,24,5,4,6,5,7,Fire,,Scratch,Ember,Smoke Screen,Small,Light,Firestarter,Sinker,,,,,,Growl,Blaze,,,,,,Fire,,,,,,,,Monster,Dragon,10 Days,Mountains,Volcanoes,,,,Omnivore,Rare,,,,,1,,,,,,,,,,,,,
Charmeleon,5,Base,charmeleon,charmeleon,36,6,6,8,7,8,Fire,,Dragon Rage,Fire Fang,Slash,Medium,Medium,Firestarter,Sinker,,,,,,Growl,Blaze,,,,,,Fire,Blades/Claws,,,,,,,Monster,Dragon,10 Days,Mountains,Volcanoes,,,,Omnivore,Rare,,,,Charmander,2,,,,,,,,,,,,,
Charizard,6,Base,charizard,charizard,48,8,8,11,9,10,Fire,Flying,Wing Attack,Flamethrower,Fire Spin,Large,Heavy,Firestarter,Sinker,Flight,,,,,Growl,Blaze,Solar Power,,,,,Fire,Winged,Blades/Claws,Flying,Draconian,,,"Blast Burn, Heat Crash",Monster,Dragon,10 Days,Mountains,Volcanoes,,,,Omnivore,Rare,,,GMax Wildfire,Charmeleon,3,,,,,,,,,,,,,
Charizard,6,Gigantamax,charizard-gmax,charizard-gmax,240,8,8,11,9,10,Fire,Flying,Wing Attack,Flamethrower,Fire Spin,Dynamic,Dynamic,Firestarter,Sinker,Flight,,,,,Growl,Blaze,Solar Power,,,,,Fire,Winged,Blades/Claws,Flying,,,,Blast Burn,Monster,Dragon,10 Days,Mountains,Volcanoes,,,,Omnivore,Rare,Charizard,Gigantamax,GMax Wildfire,Charmeleon,3,,,,,,,,,,,,,
Charizard,6,Mega/X,charizard-megax,charizard-megax,48,13,11,13,9,10,Fire,Dragon,Wing Attack,Flamethrower,Fire Spin,Large,Heavy,Firestarter,Sinker,,,,,,Growl,Blaze,Solar Power,Tough Claws and Fangs,,,,Fire,Winged,Blades/Claws,Flying,,,,Blast Burn,Monster,Dragon,11 Days,Mountains,Volcanoes,,,,Omnivore,Rare,Charizard,Mega,GMax Wildfire,Charmeleon,3,,,,,,,,,,,,,
Charizard,6,Mega/Y,charizard-megay,charizard-megay,48,10,8,16,12,10,Fire,Flying,Wing Attack,Flamethrower,Fire Spin,Large,Heavy,Firestarter,Sinker,,,,,,Growl,Blaze,Solar Power,Drought,,,,Fire,Winged,Blades/Claws,Flying,,,,Blast Burn,Monster,Dragon,12 Days,Mountains,Volcanoes,,,,Omnivore,Rare,Charizard,Mega,GMax Wildfire,Charmeleon,3,,,,,,,,,,,,,
Squirtle,7,Base,squirtle,squirtle,24,5,7,5,6,4,Water,,Tackle,Water Gun,Rapid Spin,Small,Light,Fountain,Swimmer,,,,,,Withdraw,Torrent,,,,,,Ice,Water,,,,,,"Shell Smash, Skull Bash",Monster,Water1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,,,,,1,,,,,,,,,,,,,
Wartortle,8,Base,wartortle,wartortle,36,6,8,7,8,6,Water,,Bite,Water Pulse,Skull Bash,Medium,Medium,Fountain,Swimmer,,,,,,Iron Defense,Torrent,,,,,,Ice,Water,,,,,,"Shell Smash, Skull Bash",Monster,Water1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,,,,Squirtle,2,,,,,,,,,,,,,
Blastoise,9,Base,blastoise,blastoise,48,8,10,9,11,8,Water,,Aqua Tail,Rain Dance,Hydro Pump,Large,Heavy,Fountain,Swimmer,,,,,,Iron Defense,Rain Dish,Torrent,,,,,Ice,Water,Pulse,Stampeding,,,,"Shell Smash, Skull Bash, Hydro Cannon",Monster,Water1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,,,GMax Cannonade,Wartortle,3,,,,,,,,,,,,,
Blastoise,9,Gigantamax,blastoise-gmax,blastoise-gmax,240,8,10,9,11,8,Water,,Aqua Tail,Rain Dance,Hydro Pump,Dynamic,Dynamic,Fountain,Swimmer,,,,,,Iron Defense,Rain Dish,Torrent,,,,,Ice,Water,Pulse,Stampeding,,,,"Shell Smash, Skull Bash, Hydro Cannon",Monster,Water1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,Blastoise,Gigantamax,GMax Cannonade,Wartortle,3,,,,,,,,,,,,,
Blastoise,9,Mega,blastoise-mega,blastoise-mega,48,10,12,14,12,8,Water,,Aqua Tail,Rain Dance,Hydro Pump,Large,Heavy,Fountain,Swimmer,,,,,,Iron Defense,Rain Dish,Torrent,Mega Cannon,,,,Ice,Water,Pulse,Stampeding,,,,"Shell Smash, Skull Bash, Hydro Cannon",Monster,Water1,10 Days,Lakes,Ponds,,,,Omnivore,Rare,Blastoise,Mega,GMax Cannonade,Wartortle,3,,,,,,,,,,,,,
Caterpie,10,Base,caterpie,caterpie,30,3,4,2,2,5,Bug,,Splash,Tackle,Bug Bite,Small,Light,Threaded,Repulsive,,,,,,String Shot,Shield Dust,,,,,,Bug,,,,,,,,Bug,,7 Days,Forest,Jungle,,,,Herbivore,Common,,,,,1,,,,,,,,,,,,,
Metapod,11,Base,metapod,metapod,30,2,6,3,3,3,Bug,,Bide,Protect,Safeguard,Medium,Medium,Threaded,,,,,,,Harden,String Shot,Shed Skin,,,,,Bug,,,,,,,,Bug,,7 Days,Forest,Jungle,,,,Herbivore,Common,,,,Caterpie,2,,,,,,,,,,,,,
Butterfree,12,Base,butterfree,butterfree,36,5,5,9,8,7,Bug,Flying,Confusion,Bug Buzz,Air Slash,Medium,Medium,Flight,Guster,,,,,,Quiver Dance,Tailwind,Compound Eyes,Shield Dust,Tinted Lens,,,Bug,Flying,Psychic,Lepidopteran,Winged,,,,Bug,,7 Days,Forest,Jungle,,,,Herbivore,Common,,,GMax Befuddle,Metapod,3,,,,,,,,,,,,,
Butterfree,12,Gigantamax,butterfree-gmax,butterfree-gmax,180,5,5,9,8,7,Bug,Flying,Confusion,Bug Buzz,Air Slash,Dynamic,Dynamic,Flight,Guster,,,,,,Quiver Dance,Tailwind,Compound Eyes,Shield Dust,Tinted Lens,,,Bug,Flying,Psychic,Lepidopteran,Winged,,,,Bug,,7 Days,Forest,Jungle,,,,Herbivore,Common,Butterfree,Gigantamax,GMax Befuddle,Metapod,3,,,,,,,,,,,,,
Weedle,13,Base,weedle,weedle,24,4,3,2,2,5,Bug,Poison,Poison Sting,Tackle,Bug Bite,Small,Light,Threaded,,,,,,,String Shot,Shield Dust,,,,,,Bug,Poison,,,,,,,Bug,,7 Days,Forest,Woodlands,,,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Kakuna,14,Base,kakuna,kakuna,30,3,5,3,3,4,Bug,Poison,Bide,Protect,Safeguard,Medium,Medium,Threaded,Heater,,,,,,Harden,String Shot,Shed Skin,,,,,Bug,Poison,,,,,,,Bug,,7 Days,Forest,Woodlands,,,,Omnivore,Common,,,,Weedle,2,,,,,,,,,,,,,
Beedrill,15,Base,beedrill,beedrill,42,9,4,5,8,8,Bug,Poison,Twineedle,Poison Jab,Fell Stinger,Medium,Medium,Flight,,,,,,,Agility,Focus Energy,Shield Dust,Sniper,Swarm,,,Bug,Poison,Winged,Horned,,,,,Bug,,7 Days,Forest,Woodlands,,,,Omnivore,Common,,,,Kakuna,3,,,,,,,,,,,,,
Beedrill,15,Mega,beedrill-mega,beedrill-mega,42,15,4,2,8,15,Bug,Poison,Twineedle,Poison Jab,Fell Stinger,Medium,Medium,Flight,,,,,,,Agility,Focus Energy,Shield Dust,Sniper,Swarm,Mega Adaptability,,Bug,Poison,Winged,Horned,,,,,Bug,,7 Days,Forest,Woodlands,,,,Omnivore,Common,Beedrill,Mega,,Kakuna,3,,,,,,,,,,,,,
Pidgey,16,Base,pidgey,pidgey,24,5,4,4,4,6,Normal,Flying,Gust,Quick Attack,Sand Attack,Small,Featherweight,Flight,Guster,,,,,,Keen Eye,,,,,,,Flying,Avian,Winged,,,,,,Flying,,7 Days,Field,Forest,Grasslands,Urban,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Pidgeotto,17,Base,pidgeotto,pidgeotto,36,6,6,5,5,7,Normal,Flying,Twister,Wing Attack,Roost,Medium,Medium,Flight,Guster,,,,,,Agility,Feather Dance,Keen Eye,Tangled Feet,,,,Flying,Avian,Winged,,,,,,Flying,,7 Days,Field,Forest,Grasslands,Urban,,Omnivore,Common,,,,Pidgey,2,,,,,,,,,,,,,
Pidgeot,18,Base,pidgeot,pidgeot,48,8,8,7,7,10,Normal,Flying,Mirror Move,Air Slash,Hurricane,Large,Medium,Flight,Guster,,,,,,Agility,Feather Dance,Big Pecks,Keen Eye,Tangled Feet,,,Flying,Avian,Winged,,,,,,Flying,,7 Days,Field,Forest,Grasslands,Urban,,Omnivore,Common,,,,Pidgeotto,3,,,,,,,,,,,,,
Pidgeot,18,Mega,pidgeot-mega,pidgeot-mega,48,8,8,14,8,12,Normal,Flying,Mirror Move,Air Slash,Hurricane,Large,Medium,Flight,Guster,,,,,,Agility,Feather Dance,Big Pecks,Keen Eye,Tangled Feet,No Guard,,Flying,Avian,Winged,,,,,,Flying,,7 Days,Field,Forest,Grasslands,Urban,,Omnivore,Common,Pidgeot,Mega,,Pidgeotto,3,,,,,,,,,,,,,
Rattata,19,Base,rattata,rattata,18,6,4,3,4,7,Normal,,Quick Attack,Bite,Pursuit,Small,Light,Stealth,,,,,,,Focus Energy,Tail Whip,Run Away,,,,,Dark,Elemental Attacks EI,Fangs,,,,,Super Fang,Field,,7 Days,Field,Plains,Savanna,Urban,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Rattata,19,Base/Alolan,rattata-alola,rattata-alola,18,6,4,3,4,7,Dark,Normal,Quick Attack,Bite,Pursuit,Small,Light,Stealth,,,,,,,Focus Energy,Tail Whip,Hustle,,,,,Dark,Poison,Fangs,Elemental Attacks I,,,,Super Fang,Field,,7 Days,Field,Plains,Savanna,Urban,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Raticate,20,Base,raticate,raticate,36,8,6,5,7,10,Normal,,Hyper Fang,Crunch,Super Fang,Medium,Medium,Stealth,Swimmer,,,,,,Focus Energy,Scary Face,Tail Whip,Guts,,,,Dark,Elemental Attacks EI,Fangs,,,,,Super Fang,Field,,7 Days,Field,Plains,Savanna,Urban,,Omnivore,Common,,,,Rattata,3,,,,,,,,,,,,,
Raticate,20,Base/Alolan,raticate-alola,raticate-alola,48,7,7,4,8,8,Dark,Normal,Hyper Fang,Crunch,Super Fang,Medium,Medium,Stealth,Swimmer,,,,,,Focus Energy,Scary Face,Tail Whip,Thick Fat,,,,Dark,Poison,Fangs,Elemental Attacks I,,,,Super Fang,Field,,7 Days,Field,Plains,Savanna,Urban,,Omnivore,Common,,,,Rattata,3,,,,,,,,,,,,,
