Name,Effects
Stat Increase and Advanced Class,"Choose two different Trainer Stats to increase by 1. You only ever will gain new stats at levels 3, 7, and 11. Choose an Advanced Class for this Class or a different base Class. You can only ever gain a single Class or Advanced Class at a time, at level 3, level 7, and level 11. Gain 1d4 max HP."
Improved Attacks,"Whenever your Pokémon hits with an attack, they deal additional damage equal to your Attack or Special Attack modifier, depending on which Attack or Special Attack modifier your Pokémon is adding to their attack respectively."
Affirmation,"Whenever your Pokémon knock out an opposing Pokémon, or whenever they score a critical hit, they gain temporary hit points equal to your Attack or Special Attack modifier."
Intimidate,"Ace Trainers can cause opposing Pokémon to question their aggressiveness by glaring intensely at them. As an action, Ace Trainers can make a target Pokémon’s Attack or Special Attack stat -2 for the remainder of an encounter 3/Day. Ace Trainers may target the same Pokémon over multiple rounds. This can make a Pokémon’s modifier lower if the associated stat is lowered enough."
Constructive Criticism,"You can discern why you Pokémon’s attacks are failing to get through an opposing Pokémon’s defenses. Whenever your Pokémon misses with an attack, the next time they use that attack on the same target add 2 to their Accuracy Check. This bonus can be added multiple times, if your Pokémon continues to miss against the same target with the same Move. Once your Pokémon hits, with that Move against the same target, Constructive Criticism’s bonus is reset."
Press,"You can push your Pokémon harder through intense motivation. As an action, one of your adjacent Pokémon’s stats are raised by 2 until the end of an encounter. That Pokémon loses X hit point, where X is 4 added to your Attack modifier or 4 added to your Special Attack modifier. This effect cannot be stacked on the same Pokémon. Be careful, the repeated use of Press on your Pokémon may push them too far and you could begin to negatively affect their loyalty to you."
Pokemon Master,"You become a master commander to your Pokémon. As long as it’s your Pokémon, they cannot disobey commands regardless of their loyalty. This does not improve their relationships with you, your Pokémon simply cannot disobey your commands."
Taskmaster,"You learn how to best to push your Pokémon to their limits without causing them any distress. Whenever you use any Press actions, cure your Pokémon of Flinching or Confusion. Also restore any temporarily lowered stats to their normal stats. Your Pokémon’s loyalty is not negatively affected by repeated uses of any Press actions."
Battle Frenzy,"You know when enemy Pokémon are nearing their limits and your Pokémon begin to mirror your excitement during battle. As an action, you can identify whether or not a target Pokémon is at or below half of its full HP. If a target is, one of your active Pokémon’s Speed is raised by 2 as long as it is pursuing or attacking that Pokémon."
Break Through,"You see every weakness in every Pokémon just by studying them for a couple of seconds and specify the point while instructing your Pokémon. As an action, you can target a Pokémon with Break Through! 3/day. For the remainder of the encounter, your Pokémon can use either their Attack or Special Attack against the target’s Defense or Special Defense in order to hit during accuracy check regardless of the attack’s preference. In addition, after using Break Through, the target’s Defense and Special Defense values are revealed to you."
Press On,"You can urge your Pokémon to make one more desperate attack. Once per day, you can issue a command to one of your Pokémon who was just knocked out during the last round of combat. If it does, you must immediately return it to its Poké Ball during your turn after it acts. If the Pokémon is further damaged to -100% HP, you may still need to roll a death savings throw if the foe had lethal intent."
Battle Experience,"You have enough battles behind you that you have a good idea of what to expect, or when to expect the unexpected. As an action, you may target an opposing Pokémon and identify whether or not the Pokémon has a super-effective Move against any of your active Pokémon. If they do, you are informed of what attacks they are."
Finish It,"Your Pokémon’s attacks have more power in them as a foe gets nearer to being knocked out. If a target of one of your Pokémon’s damaging attacks are lowered to 10 or less HP, it is knocked out."
Grand Master,"Your Pokémon’s strength is inspired by your presence to push out a little more with every attack. Whenever your Pokémon hits with an attack, they deal additional damage equal to your twice your Attack or Special Attack stat, regardless of which Attack or Special Attack modifier your Pokémon is adding to their attack respectively. You may also add either your twice your Attack or Special Attack modifier to attacks without a Damage value, to deal damage with those attacks."
Favored Stat,"When you become a Stat Ace, you will select either Attack, Special Attack, Defense, Special Defense, or Speed. This is relevant to all of your Stat Ace Features that refer to your favored stat. Unlike other Advanced classes, you may take Stat Ace more than once over time but you must choose a different Favored Stat each time."
Specialist Training,"You need something very specific from your Pokémon and they have matched that urgency, honing themselves to match your favored stat. Add half of your Attack or Special Attack modifier to the favored stat of each of your Pokémon that you’ve owned for at least a week. In addition, your Pokémon’s stats cannot be lowered by a foe’s effect if it is your favored stat (afflictions still affect your Pokémon’s stats."
Favorable Recruitment,"Something about your personality is picked up and mirrored by wild Pokémon. Whenever you capture or obtain a new wild Pokémon, or hatch a Pokémon egg, roll the Pokémon’s Nature twice. If either nature positively influences your favored stat, you may choose that nature. If neither do, the Pokémon’s nature is the second rolled nature."
Stat Press,"Your motivation may be harsh, but your Pokémon have the same goals as you when it comes to your favored combat style. Whenever you use Press on your Pokémon to temporarily raise your favored stat, you do not negatively affect your Pokémon’s loyalty.
"
Affliction Resistance,"Your specialized training has created a natural resistance to hardships that your Pokémon may be suffering. Depending on your favored stat, Pokémon you’ve owned for at least one week have the following immunities that apply to different afflictions.

Favored Stat: Effect
Attack: Your Pokémon’s Attack stat is unaffected while Burned.
Defense: While Frozen, your Pokémon get +4 during checks to break free of being Frozen.
Special Attack: Your Pokémon’s Special Attack stat is unaffect ed while Poisoned or Toxified.
Special Defense: While Asleep, your Pokémon get +2 during checks to wake from induced Sleep.
Speed: Your Pokémon’s Speed stat is unaffected while Paralyzed."
Field Tactics,"Your Pokémon’s aptitudes come into play on the field of battle, edging out every advantage possible during battle. Depending on your favored stat, your Pokémon’s attacks, or reactions when attacked have additional effects.

Favored Stat: Effects
Attack: Your Pokémon’s moves that use the Attack stat have the following abilities: “On hit, you may move the targets up to 20ft away from you.”
Defense: When an opponent attempts to hit your Pokémon using a move that uses the Attack stat and misses, your Pokémon may move the offender 20ft away from them.
Special Attack: Your Pokémon’s moves that use the Special Attack stat have the following abilities: “On hit, you may move the targets up to 20ft away from you.”
Special Defense: When an opponent attempts to hit your Pokémon using a move that uses the Special Attack stat and misses, your Pokémon may move the offender 20ft away from them.
Speed: After using an attack, your Pokémon can move 20ft, before the end of their turn."
Attitude Adjustment,"Your supervision can influence your Pokémon’s behavior. Once per day, after one hour of work with one of your Pokémon, you may reroll that Pokémon’s nature until you roll a nature that positively influences your favored stat."
