Name,Range,Type,Stat,Frequency,DiceRoll,Effects,Granted Skills,Contest Stat,Contest Keyword
(Elemental Attack),Varies,(Variable),Varies,Varies,,"Mechanical Rotom will have an attack related to whatever machine they’ve inhabiting while using their Wired passives. It may have an Ice-type attack while inhabiting a fridge or icebox, or a Fire-type attack while inhabiting an oven or microwave.",,,
Absolutely Breathtaking,Ranged(20ft burst),Normal,Effect,1/day,,"On hit, all enemy Pokémon targets are stunned. As long as you do not move or make another attack during the next three rounds of combat, the targets remained stunned. If you are moved, the effects of Absolutely Breathtaking ends.",,,
Absorb,Melee,Grass,Special,3/day,2d8,"On hit, you regain HP equal to half of the damage dealt.",,Clever,Good Show!
Accelerock,Melee,Rock,Attack,At-Will,2d6,Accelerock has Priority.,,Cool,Quick Set
Acid Downpour,"Ranged(60ft, 20ft blast)",Poison,(Variable),1/day,8d12,,,,
Acid Spray,Ranged(20ft),Poison,Special,3/day,1d20,"On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",,Clever,Unsettling
Acrobatics,Melee,Flying,Attack,1/day,3d12,Acrobatics cannot be used if you have a held item.,,Clever,Incentives
Acupressure,Melee,Normal,Effect,3/day,,"Target an ally or yourself. The target’s Attack, Special Attack, Defense, Special Defense, or Speed is raised +2 for five mins. This effect cannot be stacked.",,Cool,Get Ready!
Aerial Ace,Melee,Flying,Attack,3/day,3d8,You can’t miss targets with less than 15 Defense.,,Cool,Round Starter
Aerial Whip,Ranged(30ft),Flying,Special,3/day,3d8,Aerial Whip - Ranged(30ft) Flying Special Attack: 3/day 3d8. You can’t miss targets with less than 10 Special Defense.,,,
Aeroblast,Ranged(100ft beam),Flying,Special,3/day,5d20,"On hit, if you got 15 or higher on Accuracy Check, Aeroblast is a critical hit.",,,
After You,Ranged(20ft),Normal,Effect,3/day,,"For the rest of the encounter, your turn will be after the target’s turn.",,Clever,Slow Set
Air Cutter,Ranged(15ft),Flying,Special,At-Will,2d8,"Air Cutter has -1 during Accuracy Check. On hit, if you got 18 or higher on Accuracy Check, Air Cutter is a critical hit.",,Cool,Appeal
Air Dart,Ranged(10ft),Flying,Attack,At-Will,2d6,,,,
Air Slash,Ranged(15ft),Flying,Special,1/day,3d12,"Air Slash has -1 during Accuracy Check. On hit, if you got 14 or higher on Accuracy Check, the target is Stunned.",,Cool,Round Starter
All-Out Pummeling,Melee(25ft burst),Fighting,(Variable),1/day,8d12,"Immediately move next to your target, then roll your accuracy check.",,,
Ally Switch,Self,Psychic,Effect,1/day,,"Ally Switch is used as a Reaction. If you are hit by an attack, you and a willing ally within 60ft switch places and the ally is hit by the attack instead.",,Cool,Scrambler
Anchor Shot,Melee,Steel,Attack,1/day,3d12,"On hit, the target is bound to you for 1d6 rounds.",,Beauty,Unsettling
Ancient Power,Ranged(10ft),Rock,Special,1/day,2d8,"On hit, your Attack, Special Attack, Defense, Special Defense, and Speed are each raised +1 for 1 hour.",,Tough,Round Ender
Apple Acid,Ranged(15ft),Grass,Special,3/day,3d10,"On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",,Tough,Inversed Appeal
Aqua Jet,Melee,Water,Attack,At-Will,2d6,Aqua Jet has Priority.,,Beauty,Quick Set
Aqua Ring,Self,Water,Effect,1/day,,"Put a Ring Coat on yourself. The Coat has the following ability: At the beginning of your turn, recover 1d10 HP. This Coat lasts for 1 min. If it’s raining, the Coat lasts for 2 mins.",,Beauty,Torrential Appeal
Aqua Tail,Melee,Water,Attack,1/day,3d12.,,,Cute,Appeal
Arm Thrust,Melee,Fighting,Attack,At-Will,1d4,Arm Thrust has -2 during Accuracy Check. Arm Thrust is a Scatter attack. Up to 5 attacks.,,Tough,Reliable
Aromatherapy,Melee,Grass,Effect,3/day,,Target an ally or yourself. Target is cured of all afflictions.,Alluring,Clever,Reflective Appeal
Arrow Cut,Ranged(25ft),Normal,Attack,At-Will,2d6,,,,
Assurance,Melee,Dark,Attack,3/day,3d8,"If the target was already attacked this round, Assurance deals +1d8 damage.",,Beauty,Final Appeal
Astonish,Melee,Ghost,Attack,At-Will,1d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Clever,Appeal
Astral Barrage,Ranged(50ft burst),Ghost,Special,3/day,5d20,,,,
Attack Order,Ranged(10ft),Bug,Attack,1/day,3d12,"On hit, if you got 17 or higher on Accuracy Check, Attack Order is a critical hit.",,,
Attract,Ranged(10ft),Normal,Effect,1/day,,"On hit, the target is Infatuated with you.",,Cute,Excitement
Aura Sphere,Ranged(30ft),Fighting,Special,1/day,3d12,You can’t miss targets with less than 20 Special Defense.,,Beauty,Round Starter
Aura Wheel,Melee,Electric,Attack,1/day,5d12,"On hit, your Attack is +1 for 10 mins. This effect cannot be stacked. If you are Hangry, Aura Wheel is Dark-type.",,Cute,Incredible
Aurora Beam,Ranged(15ft beam),Ice,Special,3/day,3d8,"On hit, all target’s Attack are -1 for 10 mins. This effect cannot be stacked.",Freezer,Beauty,Round Starter
Aurora Veil,Melee,Ice,Effect,1/day,,"Put a Veil Coat on the target or yourself. The Coat has the following ability: If within Hail, you only take half the damage from successful attacks. This Coat lasts for 2 mins.",,Beauty,Hold That Thought
Avalanche,Melee,Ice,Attack,3/day,3d8,"If the target was already attacked this round, Avalanche deals +1d8 damage.",,Cool,Final Appeal
Baneful Bunker,Self,Poison,Effect,1/day,,"Baneful Bunker is used as a Reaction. If you are hit by an enemy with an attack that makes contact with you, ignore the damage and any effects of the attack and Poison the attacker.",,Tough,Appeal
Barrage,Ranged(10ft),Normal,Attack,At-Will,1d4,Barrage has -2 during Accuracy Check. Barrage is a Scatter attack. Up to 5 attacks.,,Tough,Reliable
Bash,Melee,Normal,Attack,3/day,3d10,Bash has -2 during Accuracy Check. Your energy shield shatters and may not be used for 1 min.,,,
Beak Blast,Melee,Flying,Attack,1/day,5d12,"When you use this attack, you immediately end your turn. Until your next turn if a Pokémon hits with a melee ranged attack, the offender is Burned. During your next turn your movement speed is doubled and then you may roll Beak Blast’s Accuracy Check and damage.",,Tough,Special Attention
Behemoth Bash,Ranged(20ft),Steel,Attack,3/day,3d10,"If the target is Dynamax, Gigantamax, or Eternamax, Behemoth Blade deals +250 damage.",,,
Behemoth Blade,Ranged(20ft),Steel,Attack,3/day,3d10,"If the target is Dynamax, Gigantamax, or Eternamax, Behemoth Blade deals +250 damage.",,,
