Name,Skill Talent,Lifestyle,Savings,Starting Equipment,Starting Pokemon,Feature Name,Feature Effects
Academic,"Choose three; Concentration, History, Investigate, Nature, Perception, Programming.",Difficult,12500,"Studious Pack or Dig Kit, Traveler's Pack, 6 Basic Balls, Potion, Potion Water","One starter Pokémon, and up to two common first stage pet Pokémon.",Academic Specialty,"Choose an academic specialty from the list below or negotiate one with your GM. When making Concentration, History, Investigate, Perception, or Programming skill checks related to your academic specialty, roll twice and use the higher result.
Academic Specialty: 
Pokémon League 
Leaders 
Pokémon Biology 
Pokémon Habitats 
Pokémon Technologies 
World History
"
Artist/Entertainer,"Perform, and choose one; Bluff/Deception, Concentration, Diplomacy/Persuasion, History, Insight.",Comfortable,75000,"Choose one of (Drawing Kit, Camera Bag, Make Up Kit, Sewing Kit, or Groomer's Kit), Traveler's Pack, 3 Basic Balls, 1 Potion Water.","One starter Pokémon, up to one first or second stage Pokémon you worked with to entertain others.",Beautiful World,"Choose an artistic profession from the list below or negotiate one with your GM. When making Bluff/Deception, Diplomacy/Persuasion, Insight, or Perform skill checks related to your artistic profession, roll twice and use the higher result. 
Artistic Profession: 
Acting Architecture Author Dance Designer Drawing Painting Photography Poet Modeling Musician Sculpture"
Athlete,"Choose one; Acrobatics, Athletics, then choose one; Concentration, Constitution, Sleight of Hand.",Comfortable,75000,"Trainer's Pack, Traveler's Pack, 2 Basic Balls, 3 Potion Water.","One starter Pokémon, up to one first or second stage Pokémon you worked with to train yourself as an athlete.",Athleticism,"Choose an athletic profession for your origin. When making an Acrobatics, Athletics, or Sleight of Hand check that would feasibly use skills similar to your athletic profession, you may roll twice and use the higher result. For example, a professional football athlete would likely not use the Athleticism feature while climbing a wall. A professional high diver could use Athleticism while leaping or swimming, however."
Backpacker,"Choose three; Athletics, Constitution, Nature, Perception, Pokémon Handling, Stealth.",Difficult,7500,"Traveler's Pack, Dig Kit, Fishing Kit, 2 Basic Balls, 3 Potion Water","One starter Pokémon, up to two common first stage pet Pokémon you traveled with.",Wandering Road,"Choose two favored terrains from the list below. When using your Constitution, Nature, Perception, Pokémon Handling, or Stealth skills while in your favored terrain, roll twice and use the better result.
Favored Terrain:
Beach Cavern Desert
Forest Freshwater Grasslands
Marsh Mountain Ocean
Rainforest Taiga Tundra"
Doctor,"Medicine, and choose one; Concentration, Diplomacy/Persuasion, Insight, Sleight of Hand.",Comfortable,75000,"Medical Field Kit or Portable Chemistry Set, 3 Basic Balls, 6 Potion Water.","One starter Pokémon, up to two uncommon first stage pet Pokémon.",Good Doctor,"Choose a practice history from the list below or negotiate one with your GM. When performing a Diplomacy/Persuasion, Insight, Medicine, or Sleight of Hand skill check related to your practice history, you roll twice and use the higher result. 
Practice History: 
Naturopathy Physician Psychiatrist Research Surgeon"
Grunt,"Choose three; Bluff/Deception, Diplomacy/ Persuasion, Insight, Programming, Sleight of Hand, Stealth",Difficult,10000,"Choose one of (Basic Tool Kit, Dig Kit, Miscreant's Pack), 6 Basic Balls.","Up to two common first or second stage Pokémon you worked with in your criminal history, up to two uncommon first or second stage Pokémon you worked with in your criminal history.",Criminal Talent,"Choose a criminal history from the list below or negotiate one with your GM. When performing a Bluff/Deception, Diplomacy/Persuasion, Programming, Sleight of Hand, or Stealth skill check related to your criminal history, you roll twice and use the higher result. In addition, if you were/are a part of a large criminal organization, you have a contact within the organization you can communicate with to find out what's going on within the organization and what you should be doing to further their needs. Discuss this with your GM before your campaign to collaborate on this NPC.
Criminal History:
Cyber Criminal, Enforcer, Poacher, Snagger, Thief"
Gym Trainer,"Choose two; Concentration, Diplomacy/Persuasion, History, Insight, Perception, Pokémon Handling",Modest,20000,"Trainer's Pack, Traveler's Pack, 6 Basic Balls, 3 Potions, 1 Potion Water.","Up to two uncommon first or second stage Pokémon you worked with in your gym, up to one rare first or second Pokémon you worked with in your gym. All of your starting Pokémon should share a type, family, or theme.",Strategy Insider,"Choose two ways that you would describe your gym's leader from the list below or negotiate some with your GM. When making Concentration, Diplomacy/Persuasion, History, Insight, Perception, or Pokémon Handling checks concerned with finding out more about a Gym Leader, Frontier Brain, Elite, or any other high-ranking League Member or one of their Pokémon, you roll twice and use the higher result if your gym mentor shares a personality trait with the individual you are rolling a skill check for, against, or with.
Gym Mentor.:
Charming Commanding Energetic
Genius Glamourous Nurturing
Stoic Unfriendly Weird"
Laborer,"Choose two; Athletics, Constitution, Engineering/Operation, Nature, Perception, Pokémon Handling",Modest,35000,"Basic Tool Kit, Traveler's Pack, 6 Basic Balls, 3 Potions, 3 Potion Water.","One starter Pokémon, up to one common first stage pet Pokémon, up to one uncommon first or second stage Pokémon who you worked with.",Honest Work,"Choose an occupation for your origin. Whenever you make a Athletics, Constitution, Engineering/Operation, Nature, or Perception skill check that would feasibly use skills similar to your occupation, you may roll twice and use the higher result. For example, a factory worker who operated machinery would not use an Operation skill check to fly a helicopter, but a truck driver might use their Perception skill while driving to notice something they might miss."
Rangers and Law Enforcement,"Choose two; Concentration, Constitution, Diplomacy/Persuasion, Investigate, Nature, Stealth.",Modest,40000,"Styler (Ranger only/optional), Traveler's Pack, 2 Basic Balls, 3 Potions, 2 Full Heal, 3 Potion Water.","One starter Pokémon, up to one uncommon first or second stage Pokémon who you worked with.",Serve and Protect,"Whenever you make a Concentration, Constitution, Diplomacy/Persuasion, Investigate, Nature, or Stealth skill check and are Talented with that skill, you may roll twice and use the better result if you are acting as a ranger or law enforcement. You must actively be working with or for law enforcement or the ranger union to use the Serve and Protect feature. You do not always use the Serve and Protect feature just because you have a talented skill and are a Ranger, but if you are working to stop a wild from rampaging or chasing a criminal the Serve and Protect feature applies."
Raring to Go,Choose any one skill.,Special,7500,"Traveler's Pack, Mess Kit, 6 Basic Balls, Folding Bike.","One starter Pokémon, up to one common first stage pet Pokémon.",I Want to Be the Very Best,"Choose a lifestyle (difficult, modest, or comfortable) that you are leaving, to determine what kind of life you had before setting off on your own. Choose one stat (Attack, Defense, Special Attack, Special Defense, or Speed), and raise it 1, permanently. When you get to level 3, 7, and 11, you may take one additional Skill Talent from your new class."
