Name,Effects
Gear Up,+1 Attack
Gorilla Tactics,+1 Attack
Howl,+1 Attack
Leer,+1 Attack
Meditate,+1 Attack
Moxie,+1 Attack
Sharpen,+1 Attack
Tail Whip,+1 Attack
Screech,+2 Attack
Swords Dance,+2 Attack
Huge Power,+6 Attack
Pure Power,+6 Attack
Baby-Doll Eyes,+1 Defense
Charm,+1 Defense
Defense Curl,+1 Defense
Growl,+1 Defense
Harden,+1 Defense
Intimidate,+1 Defense
Play Nice,+1 Defense
Withdraw,+1 Defense
Acid Armor,+2 Defense
Barrier,+2 Defense
Feather Dance,+2 Defense
Iron Defense,+2 Defense
Stamina,+2 Defense
Cotton Guard,+3 Defense
Metal Sound,+1 Special Attack
Nasty Plot,+1 Special Attack
Fake Tears,+2 Special Attack
Plan Out,+2 Special Attack
Tail Glow,+3 Special Attack
Big Brained,+6 Special Attack
Aromatic Mist,+1 Special Defense
Confide,+1 Special Defense
Headache,+1 Special Defense
Snarl,+1 Special Defense
Amnesia,+2 Special Defense
Captivate,+2 Special Defense
Eerie Impulse,+2 Special Defense
Dissipate,+3 Special Defense
Cotton Down,+1 Speed
Gooey,+1 Speed
Run Away,+1 Speed
Tangling Hair,+1 Speed
Agility,+2 Speed
Autotomize,+2 Speed
Cotton Spore,+2 Speed
Rock Polish,+2 Speed
Scary Face,+2 Speed
Speed Boost,+2 Speed
String Shot,+2 Speed
Tailwind,+2 Speed
Attack Order,"+1 Attack, +1 Defense"
Bulk Up,"+1 Attack, +1 Defense"
Calm Mind,"+1 Special Attack, +1 Special Defense"
Coil,"+1 Attack, +1 Defense, +1 to accuracy checks"
Cosmic Power,"+1 Defense, +1 Special Defense"
Decorate,"+2 Attack, +2 Special Attack"
Defend Order,"+1 Defense, +1 Special Defense"
Dragon Dance,"+1 Attack, +1 Speed"
Fae Frolic,"+1 Special Attack, +1 Speed"
Growth,"+1 Attack, +1 Special Attack"
Headstrong,"+4 Special Attack, -2 to accuracy checks"
Hone Claws,"+1 Attack, +1 to accuracy checks"
Hustle,"+4 Attack, -2 to accuracy checks"
Magnetic Flux,"+1 Defense, +1 Special Defense"
Majesty's Order,"+1 Attack, Special Attack, Defense, and Special Defense"
Noble Roar,"+1 Defense, +1 Special Defense"
Quiver Dance,"+1 Special Attack, +1 Special Defense, +1 Speed"
Rototiller,"+1 Attack, +1 Special Attack"
Seer Sight,"+1 Special Attack, +1 to accuracy checks)"
Shift Gear,"+1 Attack, +2 Speed"
Tearful Look,"+1 Defense, +1 Special Defense"
Tickle,"+1 Attack, +1 Defense"
Work Up,"+1 Attack, +1 Special Attack"
Focus Energy,Attacks are critical hits on natural 18-20
Super Luck,Attacks are critical hits on natural 18-20
Adaptability,Moves that are the same type as you deal +4 damage.
Aerilate,Normal-type moves performed by you are treated as Flying-type moves.
Aftermath,"When knocked out by a melee attack, the attacker loses 1d20 HP."
Analytic,"When attacking a foe who has already acted this round, deal +4 damage."
Anger Point,"When hit by a critical hit, raise Attack +6 for 10 mins. This passive does not stack."
Aroma Veil,"You and your allies within 10ft of you are immune to the effects of the moves Heal Block, Taunt, Encore, and Disable and the passive Cursed Body."
Battery,Allies within 15 ft of you have +1 Special Attack.
Battle Armor,Critical hits are treated as normal hits against you.
Battle Bond,Mega Greninja’s Water Shuriken’s base damage changes from 1d4 to 1d10.
Berserk,"While below half HP, you have +2 Special Attack."
Big Pecks,Your Defense cannot be lowered by a foe’s effects.
Blaze,"When you are below 20 HP, your Fire type attacks deal +4 damage."
Centered Focus,Mega Gallade is immune to being Stunned. Mega Gallade has +2 more Defense.
Cheek Pouch,"Whenever you consume a berry, you recover 10 HP in addition to any other effects."
Chlorophyll,"While in Sunny Weather, your Speed is +2."
Clear Body,Your stats cannot be lowered by a foe’s effects.
Cloud Nine,"As a free action you may deplete one use of Defog and use Defog.,"
Color Change,"Whenever you are attacked, your type is changed to the same type as the attack after taking damage and effects."
Comatose,You are always Asleep but can still act as if you aren’t. You are also immune to other afflictions.
Competitive,"If a foe lowers any of your stats, you have +2 Special Attack until your lowered stats are returned to normal."
Compound Eyes,Add +1 during accuracy check whenever you use a ranged attack.
Corrosion,You can Poison and Toxify Steel-types and Poison-types.
