Name,Price,Effects
Accessory,-1,"Once per day, during the introduction appeal of a contest, add 1d4. If the result of that d4 is a 3 or 4, the Accessory cannot be used this way again unless repaired with the Accessorize feature. A Pokémon can only benefit from one accessory at a time."
Bright Charm,-1,When you appeal to a judge you may use the Bright Charm to raise the judge’s voltage +1. The Bright Charm cannot be used this way again unless repaired with the Bright Charm feature. A Pokémon can only benefit from one accessory at a time.
Flawless Accessory,-1,"3/day per day, during any appeal of a contest, add 1d4. If the result of that d4 is a 3 or 4, the Accessory cannot be anymore during this contest. A Pokémon can only benefit from one accessory at a time."
Air Balloon,1350,"You are immune to Ground-type attacks. If you are hit by any other type of attack, Air Balloon is destroyed."
Absorb Bulb,650,"When you are hit by a Water-type attack, Absorb Bulb is destroyed and your Special Attack is raised by 2 for 10 mins. This effect cannot be stacked."
Adrenaline Orb,2550,"Once per day, when your Attack or Special Attack is lowered by a foe’s effects, your Speed is raised by 1 for 10 mins. This effect cannot be stacked."
Assault Vest,2550,"If you do not have any passives that raise your Special Defense, your Special Defense is +1. You may not use moves that do not deal damage on hit."
Big Root,2550,"When using an attack that heals you according to how much damage you deal, heal yourself an additional 1d6 hit points."
Binding Band,2550,"When using an attack that deals dam- age while keeping a target bound, deal an additional 1d4 damage each turn."
Black Sludge,1250,"When consumed and destroyed, a Poison-type Pokémon will recover 1d6 hit points each round for 2 mins or until at max hit points. If consumed by a non-Poison-type Pokémon, the Pokémon will lose 1d4 hit points each round for 2 mins or until knocked out."
Cell Battery,650,"When you are hit by a Electric-type attack, Cell Battery is destroyed and your Attack is raised by 2 for 10 mins. This effect cannot be stacked."
Choice Band,2550,"Your Attack is +2. Whenever you make an attack, that is the only attack you can use for 3 mins. If you can no longer use that move, you may still Struggle. This does not stack with stat passives."
Choice Scarf,2550,"Your Speed is +2. Whenever you make an attack, that is the only attack you can use for 3 mins. If you can no longer use that move, you may still Struggle. This does not stack with stat passives."
Choice Specs,2550,"Your Special Attack is +2. Whenever you make an attack, that is the only attack you can use for 3 mins. If you can no longer use that move, you may still Struggle. This does not stack with stat passives."
Destiny Knot,1750,"If you become Infatuated, the Pokémon who Infatuated you becomes Infatuated with you."
Elemental Plate,9800,"Elemental Plates are named per Pokémon type (Bug Plate, Dark Plate, etc.) and empower any of your same-typed attacks, dealing an additional +4 damage."
Eviolite,2550,"If you do not have any passives that raise your Defense or Special Defense and can still potentially evolve, your Defense and Special Defense are +1."
Expert Belt,2550,"If you hit with a super effective attack, deal an additional 6 damage after applying weaknesses."
