Name,Price,Effects
Trainer Accessory,-1,"Whenever you roll a Skill Check while talking to someone else, you may add +2 to your roll. If your skill check succeeds, the Trainer Accessory cannot be used this way again unless repaired with the Practical Designer feature. A person can only benefit from one trainer accessory at a time."
Lucky Charm,-1,"Whenever you roll a Skill Check and fail, you may reroll and use the second result. If you fail again, you fumble in some way and lose 1d10 hit points. The Lucky Charm cannot be used this way again unless repaired with the Lucky Charm feature. A person can only benefit from one lucky charm at a time."
Clothing Equipment,-1,"Whenever you roll a Skill Check while doing the activity the equipment is made for, you may add +1 to your roll. The equipment loses this ability after two weeks but can be repaired with the Tactical Design feature. A person can only benefit from one clothing equipment at a time."
Coiled Styler Attachment,-1,"In order to combat criminals who abuse Pokémon into doing their bidding, special stylers are issued to operatives that can be used to temporarily restrain owned Pokémon. 3/day, as an action, use Wrap on an owned enemy Pokémon. Pokémon bound by Coiled Styler cannot move or use attacks unless they break free by besting you in an athletics Skill check, but they will roll the skill check twice using the lower result."
Scanner,-1,"Your specialized goggles help to assess situations when Pokémon are wreaking havoc. 5/day, as a free action, you may reveal target Pokémon’s current hit points as a percentage representing its amount of hit points out of its max hit points. In addition, the googles these scanners are attached to are able to see through fog, smoke, heavy sandstorm or any other moving non-permanent visual obstruction."
Shield Styler Attachment,-1,"Sometimes the threat of attack will make you want to have a shield and this attachment expands a shield made of energy to help protect you from enemies. When you or an adjacent ally is attacked, the foe must roll +1 during accuracy check in order to hit. If an opponent fails to hit after attacking you or an adjacent ally your energy shield shatters and must recharge for 1 min before it is reformed. You may not use the Shield Styler Attachment while using Wrap with the Coiled Styler Attachment."
Rebreather,-1,"For special underwater missions, the rebreather is a valuable tool when a Pokémon can’t help to take you underwater for extended periods of time. The rebreather allows you to breathe underwater for a maximum of 45 minutes. After the rebreather is used for at least half an hour, it must be cleaned and dried, rendering it unable to be used for two hours."
Riot Gear,-1,"If you’re looking for a fight and don’t mind looking like it, armor up in some riot gear. When taking damage from moves that use the Attack stat to calculate damage, take 5 less damage after applying any weakness or resistances."
Control Tactical Launcher - Smoke,-1,"Smokescreens can be useful to protect yourself and allies while making a quick get away and can cover your escape, or during an offensive raid. At any given time, the ranger union allows Spec. Ops. rangers to take three canisters of ammunition for this launcher and you must return to a ranger station in order to retrieve more after using any ammunition. As an action, use the move Smoke Screen."
Control Tactical Launcher - Stun,-1,"While not always effective, stun powder grenades can be useful when trying to settle a dangerous situation through force. At any given time, the ranger union allows Spec. Ops. rangers to take three canisters of ammunition for this launcher and you must return to a ranger station in order to retrieve more after using any ammunition. As an action, use the move Stun Gas."
Suppression Tactical Launcher – Sleep,-1,"While dangerous, this gear is lent to very trusted rangers who will not abuse the weapon made available to you. At any given time, the ranger union allows Spec. Ops. rangers to take three canisters of ammunition for this launcher and you must return to a ranger station in order to retrieve more after using any ammunition. As an action, use the move Sleep Gas."
